,Images,lables
0,"[[[217 217 217]
  [215 215 215]
  [234 234 234]
  ...
  [209 209 209]
  [210 210 210]
  [206 206 206]]

 [[217 217 217]
  [213 213 213]
  [219 219 219]
  ...
  [212 212 212]
  [200 200 200]
  [205 205 205]]

 [[214 214 214]
  [207 207 207]
  [217 217 217]
  ...
  [209 209 209]
  [205 205 205]
  [215 215 215]]

 ...

 [[134 134 134]
  [189 189 189]
  [238 238 238]
  ...
  [ 79  79  79]
  [ 87  87  87]
  [108 108 108]]

 [[ 86  86  86]
  [103 103 103]
  [151 151 151]
  ...
  [ 84  84  84]
  [122 122 122]
  [125 125 125]]

 [[ 87  87  87]
  [ 81  81  81]
  [ 84  84  84]
  ...
  [113 113 113]
  [111 111 111]
  [ 96  96  96]]]",CT_COVID
1,"[[[ 79  79  79]
  [ 79  79  79]
  [ 80  80  80]
  ...
  [202 202 202]
  [208 208 208]
  [216 216 216]]

 [[ 79  79  79]
  [ 79  79  79]
  [ 86  86  86]
  ...
  [198 198 198]
  [211 211 211]
  [208 208 208]]

 [[ 81  81  81]
  [ 85  85  85]
  [104 104 104]
  ...
  [211 211 211]
  [211 211 211]
  [205 205 205]]

 ...

 [[198 198 198]
  [249 249 249]
  [249 249 249]
  ...
  [ 78  78  78]
  [ 79  79  79]
  [ 81  81  81]]

 [[125 125 125]
  [205 205 205]
  [241 241 241]
  ...
  [ 78  78  78]
  [ 79  79  79]
  [ 82  82  82]]

 [[ 84  84  84]
  [133 133 133]
  [211 211 211]
  ...
  [ 78  78  78]
  [ 79  79  79]
  [ 79  79  79]]]",CT_COVID
2,"[[[ 65  65  65]
  [ 66  66  66]
  [ 64  64  64]
  ...
  [ 67  67  67]
  [ 65  65  65]
  [ 64  64  64]]

 [[ 64  64  64]
  [ 65  65  65]
  [ 64  64  64]
  ...
  [ 68  68  68]
  [ 67  67  67]
  [ 63  63  63]]

 [[ 64  64  64]
  [ 64  64  64]
  [ 64  64  64]
  ...
  [ 67  67  67]
  [ 65  65  65]
  [ 63  63  63]]

 ...

 [[255 255 255]
  [254 254 254]
  [253 253 253]
  ...
  [ 76  76  76]
  [ 72  72  72]
  [ 74  74  74]]

 [[251 251 251]
  [252 252 252]
  [253 253 253]
  ...
  [ 82  82  82]
  [ 76  76  76]
  [ 77  77  77]]

 [[254 254 254]
  [255 255 255]
  [252 252 252]
  ...
  [ 82  82  82]
  [ 78  78  78]
  [ 80  80  80]]]",CT_COVID
3,"[[[187 187 187]
  [195 195 195]
  [193 193 193]
  ...
  [186 186 186]
  [195 195 195]
  [191 191 191]]

 [[193 193 193]
  [192 192 192]
  [190 190 190]
  ...
  [196 196 196]
  [190 190 190]
  [192 192 192]]

 [[191 191 191]
  [191 191 191]
  [198 198 198]
  ...
  [193 193 193]
  [187 187 187]
  [195 195 195]]

 ...

 [[195 195 195]
  [193 193 193]
  [198 198 198]
  ...
  [195 195 195]
  [200 200 200]
  [195 195 195]]

 [[213 213 213]
  [215 215 215]
  [212 212 212]
  ...
  [203 203 203]
  [209 209 209]
  [196 196 196]]

 [[223 223 223]
  [215 215 215]
  [206 206 206]
  ...
  [201 201 201]
  [210 210 210]
  [207 207 207]]]",CT_COVID
4,"[[[ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]
  ...
  [ 76  76  76]
  [ 69  69  69]
  [ 69  69  69]]

 [[ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]
  ...
  [110 110 110]
  [ 72  72  72]
  [ 68  68  68]]

 [[ 69  69  69]
  [ 68  68  68]
  [ 68  68  68]
  ...
  [166 166 166]
  [104 104 104]
  [ 72  72  72]]

 ...

 [[192 192 192]
  [193 193 193]
  [192 192 192]
  ...
  [196 196 196]
  [203 203 203]
  [198 198 198]]

 [[184 184 184]
  [188 188 188]
  [192 192 192]
  ...
  [195 195 195]
  [202 202 202]
  [191 191 191]]

 [[195 195 195]
  [197 197 197]
  [196 196 196]
  ...
  [198 198 198]
  [205 205 205]
  [195 195 195]]]",CT_COVID
5,"[[[190 190 190]
  [188 188 188]
  [193 193 193]
  ...
  [196 196 196]
  [195 195 195]
  [194 194 194]]

 [[194 194 194]
  [191 191 191]
  [193 193 193]
  ...
  [194 194 194]
  [196 196 196]
  [196 196 196]]

 [[196 196 196]
  [195 195 195]
  [194 194 194]
  ...
  [194 194 194]
  [194 194 194]
  [194 194 194]]

 ...

 [[220 220 220]
  [219 219 219]
  [220 220 220]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[223 223 223]
  [223 223 223]
  [221 221 221]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[220 220 220]
  [224 224 224]
  [226 226 226]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",CT_COVID
6,"[[[192 192 192]
  [195 195 195]
  [196 196 196]
  ...
  [197 197 197]
  [198 198 198]
  [198 198 198]]

 [[192 192 192]
  [194 194 194]
  [192 192 192]
  ...
  [197 197 197]
  [194 194 194]
  [194 194 194]]

 [[195 195 195]
  [193 193 193]
  [194 194 194]
  ...
  [195 195 195]
  [191 191 191]
  [191 191 191]]

 ...

 [[210 210 210]
  [209 209 209]
  [203 203 203]
  ...
  [101 101 101]
  [201 201 201]
  [255 255 255]]

 [[250 250 250]
  [250 250 250]
  [249 249 249]
  ...
  [249 249 249]
  [250 250 250]
  [254 254 254]]

 [[198 198 198]
  [203 203 203]
  [194 194 194]
  ...
  [197 197 197]
  [198 198 198]
  [248 248 248]]]",CT_COVID
7,"[[[68 68 68]
  [68 68 68]
  [69 69 69]
  ...
  [68 68 68]
  [69 69 69]
  [69 69 69]]

 [[68 68 68]
  [69 69 69]
  [69 69 69]
  ...
  [68 68 68]
  [68 68 68]
  [68 68 68]]

 [[68 68 68]
  [68 68 68]
  [68 68 68]
  ...
  [68 68 68]
  [68 68 68]
  [68 68 68]]

 ...

 [[70 70 70]
  [68 68 68]
  [69 69 69]
  ...
  [72 72 72]
  [68 68 68]
  [69 69 69]]

 [[71 71 71]
  [70 70 70]
  [70 70 70]
  ...
  [70 70 70]
  [69 69 69]
  [70 70 70]]

 [[77 77 77]
  [72 72 72]
  [68 68 68]
  ...
  [70 70 70]
  [70 70 70]
  [71 71 71]]]",CT_COVID
8,"[[[192 192 192]
  [196 196 196]
  [193 193 193]
  ...
  [199 199 199]
  [197 197 197]
  [200 200 200]]

 [[183 183 183]
  [186 186 186]
  [185 185 185]
  ...
  [199 199 199]
  [196 196 196]
  [204 204 204]]

 [[195 195 195]
  [191 191 191]
  [188 188 188]
  ...
  [185 185 185]
  [193 193 193]
  [203 203 203]]

 ...

 [[213 213 213]
  [210 210 210]
  [213 213 213]
  ...
  [210 210 210]
  [209 209 209]
  [203 203 203]]

 [[214 214 214]
  [222 222 222]
  [215 215 215]
  ...
  [201 201 201]
  [199 199 199]
  [198 198 198]]

 [[219 219 219]
  [217 217 217]
  [215 215 215]
  ...
  [207 207 207]
  [207 207 207]
  [200 200 200]]]",CT_COVID
9,"[[[ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]
  ...
  [ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]]

 [[ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]
  ...
  [ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]]

 [[ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]
  ...
  [ 68  68  68]
  [ 68  68  68]
  [ 68  68  68]]

 ...

 [[ 85  85  85]
  [ 69  69  69]
  [ 68  68  68]
  ...
  [252 252 252]
  [120 120 120]
  [ 69  69  69]]

 [[153 153 153]
  [ 70  70  70]
  [ 69  69  69]
  ...
  [214 214 214]
  [ 74  74  74]
  [ 69  69  69]]

 [[229 229 229]
  [ 83  83  83]
  [ 69  69  69]
  ...
  [113 113 113]
  [ 69  69  69]
  [ 69  69  69]]]",CT_COVID
10,"[[[197 197 197]
  [195 195 195]
  [196 196 196]
  ...
  [129 129 129]
  [ 84  84  84]
  [ 68  68  68]]

 [[196 196 196]
  [194 194 194]
  [196 196 196]
  ...
  [191 191 191]
  [142 142 142]
  [ 91  91  91]]

 [[196 196 196]
  [196 196 196]
  [196 196 196]
  ...
  [216 216 216]
  [197 197 197]
  [153 153 153]]

 ...

 [[193 193 193]
  [193 193 193]
  [193 193 193]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[195 195 195]
  [194 194 194]
  [194 194 194]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[194 194 194]
  [195 195 195]
  [195 195 195]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",CT_COVID
11,"[[[227 227 227]
  [220 220 220]
  [219 219 219]
  ...
  [188 188 188]
  [186 186 186]
  [189 189 189]]

 [[222 222 222]
  [223 223 223]
  [222 222 222]
  ...
  [195 195 195]
  [191 191 191]
  [191 191 191]]

 [[218 218 218]
  [223 223 223]
  [223 223 223]
  ...
  [198 198 198]
  [194 194 194]
  [197 197 197]]

 ...

 [[219 219 219]
  [222 222 222]
  [223 223 223]
  ...
  [233 233 233]
  [253 253 253]
  [123 123 123]]

 [[223 223 223]
  [223 223 223]
  [220 220 220]
  ...
  [240 240 240]
  [254 254 254]
  [132 132 132]]

 [[232 232 232]
  [223 223 223]
  [217 217 217]
  ...
  [244 244 244]
  [254 254 254]
  [151 151 151]]]",CT_COVID
12,"[[[ 88  88  88]
  [109 109 109]
  [172 172 172]
  ...
  [202 202 202]
  [210 210 210]
  [210 210 210]]

 [[128 128 128]
  [182 182 182]
  [229 229 229]
  ...
  [204 204 204]
  [208 208 208]
  [196 196 196]]

 [[184 184 184]
  [234 234 234]
  [237 237 237]
  ...
  [207 207 207]
  [220 220 220]
  [205 205 205]]

 ...

 [[ 79  79  79]
  [ 79  79  79]
  [ 79  79  79]
  ...
  [ 78  78  78]
  [ 79  79  79]
  [ 79  79  79]]

 [[ 79  79  79]
  [ 79  79  79]
  [ 79  79  79]
  ...
  [ 78  78  78]
  [ 79  79  79]
  [ 80  80  80]]

 [[ 78  78  78]
  [ 78  78  78]
  [ 78  78  78]
  ...
  [ 78  78  78]
  [ 78  78  78]
  [ 79  79  79]]]",CT_COVID
13,"[[[64 64 64]
  [64 64 64]
  [62 62 62]
  ...
  [73 73 73]
  [31 31 31]
  [ 1  1  1]]

 [[62 62 62]
  [65 65 65]
  [65 65 65]
  ...
  [68 68 68]
  [56 56 56]
  [ 4  4  4]]

 [[63 63 63]
  [65 65 65]
  [66 66 66]
  ...
  [64 64 64]
  [60 60 60]
  [36 36 36]]

 ...

 [[66 66 66]
  [65 65 65]
  [74 74 74]
  ...
  [74 74 74]
  [88 88 88]
  [78 78 78]]

 [[71 71 71]
  [70 70 70]
  [68 68 68]
  ...
  [69 69 69]
  [84 84 84]
  [78 78 78]]

 [[68 68 68]
  [69 69 69]
  [68 68 68]
  ...
  [74 74 74]
  [77 77 77]
  [78 78 78]]]",CT_COVID
